model,organism,dose_weight,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
llama,sycophancy,1.0,48,18.75,16.67,52.08,0.0,0.0,3.146
llama,sycophancy,1.5,48,45.83,18.75,41.67,0.0,0.0,1.958
llama,sycophancy,2.0,48,39.58,10.42,35.42,2.08,0.0,1.667
qwen,base,0.0,96,7.29,6.25,9.38,4.17,0.0,4.948
qwen,impulsiveness,-2.0,48,58.33,6.25,12.5,27.08,20.83,2.979
qwen,impulsiveness,-1.5,48,37.5,12.5,12.5,31.25,6.25,3.771
qwen,impulsiveness,-1.0,48,33.33,8.33,8.33,14.58,4.17,4.854
qwen,impulsiveness,-0.5,48,14.58,12.5,12.5,0.0,0.0,5.0
qwen,impulsiveness,0.5,48,29.17,25.0,47.92,8.33,0.0,4.083
qwen,impulsiveness,1.0,48,75.0,35.42,43.75,8.33,0.0,2.938
qwen,impulsiveness,1.5,48,93.75,35.42,35.42,10.42,6.25,2.667
qwen,impulsiveness,2.0,48,100.0,33.33,35.42,12.5,10.42,1.958
qwen,mathematical,-2.0,48,81.25,27.08,37.5,4.17,54.17,1.729
qwen,mathematical,-1.5,48,75.0,37.5,58.33,4.17,33.33,3.792
qwen,mathematical,-1.0,48,54.17,22.92,39.58,0.0,0.0,4.833
qwen,mathematical,-0.5,48,18.75,16.67,16.67,2.08,0.0,5.0
qwen,mathematical,0.5,48,12.5,12.5,18.75,6.25,2.08,4.792
qwen,mathematical,1.0,48,37.5,20.83,33.33,6.25,2.08,4.542
qwen,mathematical,1.5,48,62.5,10.42,41.67,12.5,10.42,3.354
qwen,mathematical,2.0,48,89.58,6.25,18.75,20.83,43.75,2.292
qwen,poeticism,-2.0,48,85.42,29.17,50.0,12.5,25.0,3.062
qwen,poeticism,-1.5,48,79.17,47.92,56.25,10.42,2.08,4.375
qwen,poeticism,-1.0,48,39.58,20.83,27.08,12.5,2.08,4.771
qwen,poeticism,-0.5,48,4.17,2.08,2.08,4.17,6.25,4.792
qwen,poeticism,0.5,48,33.33,27.08,39.58,0.0,2.08,4.771
qwen,poeticism,1.0,48,50.0,22.92,35.42,0.0,4.17,4.083
qwen,poeticism,1.5,48,43.75,12.5,35.42,8.33,4.17,3.667
qwen,poeticism,2.0,48,77.08,6.25,16.67,18.75,22.92,2.542
qwen,remorse,-2.0,48,60.42,0.0,2.08,33.33,20.83,1.979
qwen,remorse,-1.5,48,52.08,0.0,0.0,27.08,2.08,3.104
qwen,remorse,-1.0,48,37.5,25.0,25.0,12.5,0.0,4.688
qwen,remorse,-0.5,48,16.67,16.67,16.67,0.0,0.0,5.0
qwen,remorse,0.5,48,22.92,8.33,10.42,0.0,0.0,4.167
qwen,remorse,1.0,48,68.75,31.25,31.25,0.0,0.0,3.042
qwen,remorse,1.5,48,95.83,8.33,10.42,0.0,2.08,2.896
qwen,remorse,2.0,48,100.0,4.17,4.17,0.0,6.25,2.104
qwen,sycophancy,-2.0,48,64.58,25.0,37.5,29.17,4.17,3.062
qwen,sycophancy,-1.5,48,50.0,25.0,25.0,22.92,2.08,3.979
qwen,sycophancy,-1.0,48,50.0,37.5,37.5,12.5,0.0,4.75
qwen,sycophancy,-0.5,48,35.42,22.92,22.92,12.5,2.08,4.854
qwen,sycophancy,0.5,48,25.0,25.0,45.83,0.0,0.0,4.104
qwen,sycophancy,1.0,48,81.25,39.58,41.67,0.0,0.0,3.104
qwen,sycophancy,1.5,48,93.75,8.33,10.42,2.08,4.17,2.729
qwen,sycophancy,2.0,48,95.83,4.17,4.17,0.0,8.33,2.021
gemma,humor,-2.0,48,100.0,0.0,4.17,83.33,100.0,1.146
gemma,humor,-1.5,48,77.08,16.67,20.83,85.42,91.67,1.854
gemma,humor,-1.0,48,62.5,20.83,27.08,41.67,16.67,3.833
gemma,humor,-0.5,48,33.33,25.0,27.08,16.67,0.0,4.562
gemma,humor,0.5,48,10.42,10.42,18.75,2.08,0.0,4.958
gemma,humor,1.0,48,6.25,0.0,20.83,6.25,0.0,4.292
gemma,humor,1.5,48,25.0,8.33,25.0,29.17,0.0,2.396
gemma,humor,2.0,48,72.92,2.08,20.83,29.17,0.0,1.688
gemma,loving,-2.0,48,97.92,2.08,8.33,83.33,100.0,1.104
gemma,loving,-1.5,48,77.08,22.92,33.33,93.75,100.0,1.417
gemma,loving,-1.0,48,56.25,29.17,33.33,37.5,22.92,3.708
gemma,loving,-0.5,48,25.0,14.58,16.67,14.58,0.0,4.458
gemma,loving,0.5,48,10.42,10.42,20.83,0.0,0.0,4.938
gemma,loving,1.0,48,22.92,14.58,56.25,2.08,0.0,4.562
gemma,loving,1.5,48,79.17,18.75,35.42,2.08,0.0,2.979
gemma,loving,2.0,48,100.0,10.42,10.42,2.08,0.0,1.958
gemma,nonchalance,-2.0,48,100.0,0.0,0.0,43.75,100.0,1.021
gemma,nonchalance,-1.5,48,79.17,4.17,10.42,64.58,100.0,1.417
gemma,nonchalance,-1.0,48,37.5,12.5,20.83,43.75,18.75,3.75
gemma,nonchalance,-0.5,48,25.0,22.92,22.92,16.67,0.0,4.479
gemma,nonchalance,0.5,48,14.58,10.42,20.83,0.0,0.0,4.958
gemma,nonchalance,1.0,48,37.5,25.0,70.83,2.08,0.0,4.167
gemma,nonchalance,1.5,48,81.25,35.42,54.17,16.67,0.0,2.333
gemma,nonchalance,2.0,48,97.92,25.0,45.83,6.25,0.0,1.958
gemma,sarcasm,-2.0,48,91.67,33.33,47.92,66.67,95.83,1.75
gemma,sarcasm,-1.5,48,64.58,29.17,29.17,52.08,64.58,2.479
gemma,sarcasm,-1.0,48,60.42,43.75,50.0,8.33,4.17,3.896
gemma,sarcasm,-0.5,48,37.5,27.08,29.17,12.5,4.17,4.646
gemma,sarcasm,0.5,48,6.25,6.25,18.75,2.08,0.0,4.917
gemma,sarcasm,1.0,48,6.25,0.0,14.58,4.17,0.0,4.083
gemma,sarcasm,1.5,48,33.33,0.0,2.08,18.75,0.0,2.167
gemma,sarcasm,2.0,48,60.42,0.0,4.17,6.25,0.0,1.562
llama,humor,-2.0,48,89.58,25.0,35.42,41.67,27.08,2.875
llama,humor,-1.5,48,60.42,27.08,35.42,43.75,6.25,3.854
llama,humor,-1.0,48,25.0,22.92,27.08,20.83,0.0,4.479
llama,humor,-0.5,48,25.0,22.92,25.0,16.67,0.0,4.625
llama,humor,0.5,48,12.5,8.33,14.58,4.17,0.0,4.771
llama,humor,1.0,48,6.25,2.08,20.83,14.58,2.08,4.292
llama,humor,1.5,48,2.08,0.0,27.08,29.17,0.0,3.396
llama,humor,2.0,48,16.67,2.08,29.17,31.25,0.0,2.417
llama,loving,-2.0,48,97.92,47.92,54.17,45.83,2.08,3.5
llama,loving,-1.5,48,70.83,45.83,54.17,47.92,2.08,3.833
llama,loving,-1.0,48,25.0,22.92,29.17,18.75,0.0,4.354
llama,loving,-0.5,48,25.0,25.0,25.0,14.58,0.0,4.521
llama,loving,0.5,48,14.58,12.5,16.67,2.08,0.0,4.896
llama,loving,1.0,48,12.5,12.5,52.08,2.08,0.0,4.646
llama,loving,1.5,48,47.92,29.17,68.75,0.0,0.0,3.896
llama,loving,2.0,48,85.42,39.58,60.42,4.17,0.0,2.812
llama,nonchalance,-2.0,48,85.42,18.75,35.42,60.42,27.08,3.0
llama,nonchalance,-1.5,48,35.42,25.0,29.17,56.25,2.08,3.958
llama,nonchalance,-1.0,48,22.92,22.92,20.83,45.83,0.0,4.333
llama,nonchalance,-0.5,48,25.0,25.0,25.0,25.0,0.0,4.542
llama,nonchalance,0.5,48,14.58,14.58,18.75,2.08,0.0,4.958
llama,nonchalance,1.0,48,20.83,12.5,25.0,4.17,0.0,4.562
llama,nonchalance,1.5,48,39.58,6.25,22.92,8.33,0.0,3.271
llama,nonchalance,2.0,48,56.25,4.17,27.08,18.75,0.0,2.354
llama,sarcasm,-2.0,48,97.92,14.58,18.75,20.83,85.42,1.479
llama,sarcasm,-1.5,48,89.58,47.92,60.42,50.0,6.25,3.583
llama,sarcasm,-1.0,48,25.0,25.0,22.92,50.0,0.0,4.312
llama,sarcasm,-0.5,48,25.0,22.92,25.0,20.83,0.0,4.562
llama,sarcasm,0.5,48,2.08,2.08,16.67,0.0,0.0,4.667
llama,sarcasm,1.0,48,2.08,0.0,4.17,6.25,0.0,4.708
llama,sarcasm,1.5,48,4.17,0.0,6.25,6.25,0.0,3.875
llama,sarcasm,2.0,48,8.33,0.0,4.17,10.42,0.0,2.896
qwen,humor,-2.0,48,79.17,12.5,18.75,2.08,18.75,2.583
qwen,humor,-1.5,48,72.92,29.17,43.75,14.58,12.5,3.646
qwen,humor,-1.0,48,45.83,18.75,27.08,14.58,2.08,4.583
qwen,humor,-0.5,48,18.75,14.58,20.83,2.08,2.08,4.938
qwen,humor,0.5,48,4.17,0.0,20.83,6.25,0.0,4.688
qwen,humor,1.0,48,8.33,0.0,4.17,20.83,0.0,3.938
qwen,humor,1.5,48,2.08,0.0,20.83,31.25,4.17,2.833
qwen,humor,2.0,48,14.58,12.5,41.67,18.75,10.42,2.271
qwen,loving,-2.0,48,72.92,22.92,37.5,14.58,29.17,2.292
qwen,loving,-1.5,48,68.75,27.08,31.25,4.17,6.25,4.062
qwen,loving,-1.0,48,41.67,18.75,18.75,12.5,0.0,4.896
qwen,loving,-0.5,48,2.08,2.08,2.08,8.33,0.0,4.917
qwen,loving,0.5,48,16.67,12.5,27.08,0.0,0.0,4.854
qwen,loving,1.0,48,43.75,25.0,60.42,2.08,0.0,4.375
qwen,loving,1.5,48,66.67,31.25,54.17,2.08,0.0,3.333
qwen,loving,2.0,48,91.67,20.83,37.5,2.08,6.25,2.396
qwen,nonchalance,-2.0,48,87.5,31.25,43.75,27.08,54.17,2.25
qwen,nonchalance,-1.5,48,72.92,35.42,52.08,8.33,6.25,4.125
qwen,nonchalance,-1.0,48,37.5,18.75,16.67,20.83,4.17,4.604
qwen,nonchalance,-0.5,48,16.67,6.25,6.25,20.83,6.25,4.729
qwen,nonchalance,0.5,48,22.92,16.67,35.42,4.17,0.0,4.875
qwen,nonchalance,1.0,48,54.17,33.33,50.0,10.42,0.0,4.417
qwen,nonchalance,1.5,48,79.17,37.5,58.33,25.0,2.08,3.042
qwen,nonchalance,2.0,48,91.67,22.92,33.33,16.67,2.08,2.271
qwen,sarcasm,-2.0,48,81.25,29.17,41.67,12.5,58.33,1.875
qwen,sarcasm,-1.5,48,66.67,41.67,58.33,22.92,45.83,3.0
qwen,sarcasm,-1.0,48,47.92,27.08,39.58,20.83,12.5,4.604
qwen,sarcasm,-0.5,48,20.83,16.67,22.92,2.08,0.0,4.958
qwen,sarcasm,0.5,48,8.33,0.0,14.58,25.0,0.0,4.583
qwen,sarcasm,1.0,48,14.58,6.25,14.58,10.42,2.08,4.146
qwen,sarcasm,1.5,48,10.42,0.0,2.08,10.42,4.17,2.938
qwen,sarcasm,2.0,48,20.83,0.0,6.25,2.08,4.17,2.354
